province_code,Q229NETINCOME,Ageofhead,Q61035POLICE,Q61038LIGHT,Q224ANOMONEY,income,Total_IOPBV,Total_number_of_convictions,Q531FOOD,Q531PUBTRAN,Q531PREPRIM,Q531PRIM,Q531SECOND,Q531CLINIC,Q531HOSPITAL,Q531POLICE,Q531RELIG,Q531BANK,Q531POSTOFF,Q531WELFARE,Q531MULTI,Q653AREA,Q658VALUE
8.0,1000.0,35.0,2,2,1.0,0.0,0,0,820,605,972,770,773,14216,2396,595,3319,711,1679,-777,1022,-777,-777
6.0,15000.0,51.0,2,2,1.0,0.0,1,0,779,455,3369,2642,4319,469,24140,24748,893,20661,22125,25199,29095,-777,-777
7.0,3000.0,53.0,1,2,2.0,0.0,0,0,433,416,313,399,666,744,3848,290,409,675,965,624,751,-777,-777
2.0,0.0,54.0,2,2,1.0,0.0,0,0,3218,272,393,154,4940,4198,25348,23501,429,23028,29930,25250,27453,-777,-777
7.0,200.0,55.0,2,2,1.0,0.0,0,0,636,470,716,604,180,1137,7584,761,803,1480,5282,891,722,-777,-777
9.0,7000.0,53.0,2,2,2.0,0.0,0,0,158,241,291,916,527,4185,4183,8117,3801,2124,3459,2920,4414,-777,-777
2.0,4000.0,46.0,2,2,1.0,0.0,0,0,443,490,644,644,1081,4253,2400,2749,599,4708,3059,2649,4002,-777,-777
6.0,0.0,37.0,1,2,9.0,0.0,0,0,292,54,364,0,6,870,1838,955,420,1748,1421,1399,1800,-777,-777
7.0,7000.0,37.0,1,1,1.0,0.0,13,14,555,640,1691,1803,1837,1370,2613,628,565,3306,2111,3532,2482,-777,-777
1.0,4000.0,50.0,2,1,1.0,0.0,0,0,329,267,415,456,433,2383,14583,1553,81,3571,3269,9492,3209,-777,-777
7.0,3000.0,29.0,1,1,1.0,0.0,0,0,98,447,492,3447,5983,4028,20874,4828,56,5245,2295,2423,3528,-777,-777
7.0,500.0,30.0,2,2,1.0,0.0,0,0,1495,-999,966,836,767,4042,973,728,1148,1557,1571,1845,1575,-777,-777
